Key,ru,en,tr
Help0,Базовые улучшения - сбрасываются после престижа,en,tr
Help1,Рекламные бонусы позволяют получить преимущество за просмотр рекламы более того каждый просмотр рекламы в игре даёт дополнительный множитель для всего дохода,en,tr
Help2,Питомцы милые и красивые за счёт чего позволяют быстрее завоевывать сердца фанатов. Сбрасываються после престижа.,en,tr
Help3,Подработка вынужденная мера для пассивного получения дохода. Сбрасывается после престижа.,en,tr
Help4,Сбрасывает все улучшения до начальных значений. Взамен даёт слёзы богини.,en,tr
Help5,Магазин постоянных улучшений за алмазы. Не сбрасывается после престижа!,en,tr
HelpTitle0,Базовые улучшения,en,tr
HelpTitle1,Рекламные бонусы,en,tr
HelpTitle2,Питомцы,en,tr
HelpTitle3,Подработка,en,tr
HelpTitle4,Престиж,en,tr
HelpTitle5,Магазин,en,tr
