Key,ru,en,tr
GetGlory,Получите звёзды славы!,Get Glory Stars!,tr
PrestigeDes,"Поверните время вспять, чтобы сбросить прогресс. Получите Звезды Славы для постоянных улучшений.",en,tr
PrestigeWarning,Улучшения с помощью драгоценных камней не будут сброшены.,en,tr
PrestigeReward,Награда Престижа,en,tr
GloryStars,Звёзды славы,en,tr
StartingDay,Дата начала,en,tr
Close,Закрыть,Close,tr
SpecialOffer,Специальное предложение!,Special Offer!,tr
PrestigeAdsDes,"Вы можете получить дополнительные Звёзды Славы, посмотрев короткую рекламу!",en,tr
AdditionalReward,Дополнительная награда,en,tr
Accept,Принять,en,tr
Reject,Отклонить,Reject,tr
Settings,Настройки,Settings,tr
Language,Язык Системы,en,tr
Audio,Настройки звука,en,tr
OfflineEarningsTitle,Офлайн Заработок,Offline Earnings,tr
OfflineEarningsSub,Пока вас не было вы заработали!,While you were away you earned!,tr
OfflineEarningsDes,Максимальная Офлайн Награда,Offline Max Reward,tr
Receive,Забрать,Receive,tr
PowerSavingMode,Режим энергосбережения,Power Saving Mode,tr
ReceiveAds,Забрать х2,Receive x2,tr
ReceiveDaily,Забрать!,Receive!,tr
DailyReward,Ежедневная награда,en,tr
DailyRewardSub,Заходи каждый день и получай бонус,en,tr

